import time: self [us] | cumulative | imported package
import time:       516 |        516 |   _io
import time:        36 |         36 |   marshal
import time:       326 |        326 |   posix
import time:       738 |       1615 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       224 |        318 | zipimport
import time:        47 |         47 |     _codecs
import time:      1546 |       1592 |   codecs
import time:      5445 |       5445 |   encodings.aliases
import time:     19401 |      26437 | encodings
import time:     12921 |      12921 | encodings.utf_8
import time:       101 |        101 | _signal
import time:        38 |         38 |     _abc
import time:       169 |        206 |   abc
import time:       451 |        656 | io
import time:        49 |         49 |       _stat
import time:       105 |        153 |     stat
import time:      1573 |       1573 |     _collections_abc
import time:        69 |         69 |       errno
import time:        79 |         79 |       genericpath
import time:       817 |        964 |     posixpath
import time:       850 |       3539 |   os
import time:       102 |        102 |   _sitebuiltins
import time:      7642 |       7642 |   encodings.utf_8_sig
import time:     15136 |      15136 |     __future__
import time:      5939 |       5939 |       importlib
import time:        76 |       6014 |     importlib.machinery
import time:     11378 |      11378 |       importlib._abc
import time:     10581 |      10581 |       types
import time:       183 |      22142 |     importlib.util
import time:       149 |        149 |     itertools
import time:     19097 |      19097 |             keyword
import time:        90 |         90 |               _operator
import time:      9340 |       9429 |             operator
import time:     11768 |      11768 |             reprlib
import time:        72 |         72 |             _collections
import time:     53129 |      93493 |           collections
import time:        52 |         52 |           _functools
import time:     20076 |     113619 |         functools
import time:     26848 |      26848 |           contextlib
import time:      9357 |       9357 |             enum
import time:        77 |         77 |               _sre
import time:     13932 |      13932 |                 re._constants
import time:     12142 |      26073 |               re._parser
import time:      9253 |       9253 |               re._casefix
import time:     30797 |      66199 |             re._compiler
import time:     13535 |      13535 |             copyreg
import time:     18825 |     107914 |           re
import time:     18258 |      18258 |           fnmatch
import time:     19893 |     172911 |         glob
import time:     19971 |     306501 |       pathlib._abc
import time:       132 |        132 |           _winapi
import time:        84 |         84 |           nt
import time:        93 |         93 |           nt
import time:        80 |         80 |           nt
import time:        79 |         79 |           nt
import time:        76 |         76 |           nt
import time:        74 |         74 |           nt
import time:        78 |         78 |           nt
import time:       781 |       1472 |         ntpath
import time:      9575 |       9575 |         warnings
import time:       327 |        327 |         pwd
import time:     17175 |      17175 |         grp
import time:     39041 |      67587 |       pathlib._local
import time:     40295 |     414382 |     pathlib
import time:     22797 |     480616 |   __editable___fastest_tests_0_0_0_finder
import time:     12259 |      12259 |   _distutils_hack
import time:      1060 |       1060 |   sitecustomize
import time:     42463 |     547678 | site
import time:      2817 |       2817 | linecache
import time:     15252 |      15252 | unitccl_cli
import time:       454 |        454 |     _typing
import time:     13421 |      13875 |   typing
import time:     10111 |      10111 |       math
import time:     31847 |      31847 |             _json
import time:     24073 |      55919 |           json.scanner
import time:     12345 |      68263 |         json.decoder
import time:      2088 |       2088 |         json.encoder
import time:     36799 |     107150 |       json
import time:     21234 |      21234 |         _datetime
import time:     26838 |      48072 |       datetime
import time:     15360 |      15360 |         fastest.logging
import time:     11795 |      27155 |       fastest.flags
import time:     17759 |     210244 |     fastest.runner
import time:        56 |         56 |           atexit
import time:      1299 |       1299 |               _ast
import time:      9293 |      10591 |             ast
import time:     34769 |      34769 |                 _opcode
import time:     10921 |      10921 |                 _opcode_metadata
import time:     50580 |      96268 |               opcode
import time:    100384 |     196652 |             dis
import time:     11350 |      11350 |               token
import time:        44 |         44 |               _tokenize
import time:      2581 |      13975 |             tokenize
import time:      9031 |       9031 |               _weakrefset
import time:     11205 |      20236 |             weakref
import time:     20387 |     261839 |           inspect
import time:        86 |         86 |             _locale
import time:      9942 |      10028 |           locale
import time:     12840 |      12840 |               textwrap
import time:     12636 |      12636 |               _colorize
import time:      4988 |      30462 |             traceback
import time:       335 |        335 |               _string
import time:      6878 |       7213 |             string
import time:     11351 |      11351 |             threading
import time:     10020 |      59044 |           logging
import time:     13934 |      13934 |               copy
import time:     10902 |      24836 |             dataclasses
import time:     33393 |      58228 |           pprint
import time:     25462 |      25462 |             zlib
import time:      6207 |       6207 |               _compression
import time:     50374 |      50374 |               _bz2
import time:     18708 |      75288 |             bz2
import time:     46053 |      46053 |               _lzma
import time:     14284 |      60337 |             lzma
import time:     17248 |     178334 |           shutil
import time:     18948 |      18948 |             signal
import time:    176042 |     176042 |             fcntl
import time:       226 |        226 |             msvcrt
import time:      8089 |       8089 |             _posixsubprocess
import time:     28908 |      28908 |             select
import time:     13606 |      13606 |             selectors
import time:     15196 |     261012 |           subprocess
import time:     31837 |      31837 |                 _bisect
import time:     36096 |      67932 |               bisect
import time:     16642 |      16642 |               _random
import time:     10023 |      94596 |             random
import time:     13819 |     108414 |           tempfile
import time:     18265 |      18265 |             packaging
import time:     56430 |      74694 |           packaging.version
import time:     15765 |      15765 |             matplotlib._api.deprecation
import time:    250014 |     265779 |           matplotlib._api
import time:      8573 |       8573 |           matplotlib._version
import time:     11705 |      11705 |                 _struct
import time:     33560 |      45264 |               struct
import time:      6152 |      51416 |             gzip
import time:     27490 |      27490 |             shlex
import time:     18439 |      18439 |               numpy.version
import time:     10937 |      10937 |               numpy._expired_attrs_2_0
import time:     16663 |      16663 |                   numpy._utils._convertions
import time:     21100 |      37762 |                 numpy._utils
import time:     36181 |      73943 |               numpy._globals
import time:        64 |         64 |                 numpy._distributor_init_local
import time:     31698 |      31761 |               numpy._distributor_init
import time:     17710 |      17710 |                         numpy.exceptions
import time:     13917 |      13917 |                         numpy._core._exceptions
import time:     42711 |      42711 |                             _contextvars
import time:     19176 |      61887 |                           contextvars
import time:    103161 |     165047 |                         numpy._core.printoptions
import time:     16098 |      16098 |                         numpy.dtypes
import time:    818622 |    1031391 |                       numpy._core._multiarray_umath
import time:     24076 |      24076 |                         numpy._utils._inspect
import time:     14152 |      38227 |                       numpy._core.overrides
import time:     26206 |    1095823 |                     numpy._core.multiarray
import time:     12585 |      12585 |                     numpy._core.umath
import time:     11188 |      11188 |                       numbers
import time:     27618 |      27618 |                       numpy._core._dtype
import time:     29098 |      29098 |                       numpy._core._string_helpers
import time:      6552 |       6552 |                       numpy._core._type_aliases
import time:     22466 |      96921 |                     numpy._core.numerictypes
import time:     11175 |      11175 |                                 _compat_pickle
import time:     14687 |      14687 |                                 _pickle
import time:     11243 |      37104 |                               pickle
import time:     54188 |      91292 |                             numpy._core._methods
import time:      9785 |     101076 |                           numpy._core.fromnumeric
import time:     19388 |     120464 |                         numpy._core.shape_base
import time:     11014 |      11014 |                         numpy._core._ufunc_config
import time:     34783 |      34783 |                         numpy._core._asarray
import time:     16141 |      16141 |                         numpy._core.arrayprint
import time:     10802 |     193202 |                       numpy._core.numeric
import time:     10558 |     203759 |                     numpy._core.einsumfunc
import time:     13382 |      13382 |                     numpy._core.function_base
import time:     34123 |      34123 |                     numpy._core.getlimits
import time:     12430 |      12430 |                     numpy._core.memmap
import time:      6990 |       6990 |                     numpy._core.records
import time:     32329 |      32329 |                     numpy._core._add_newdocs
import time:     13391 |      13391 |                     numpy._core._add_newdocs_scalars
import time:     15397 |      15397 |                     numpy._core._dtype_ctypes
import time:     97628 |      97628 |                         _ctypes
import time:     15591 |      15591 |                         ctypes._endian
import time:     25256 |     138474 |                       ctypes
import time:     18024 |     156498 |                     numpy._core._internal
import time:      8534 |       8534 |                     numpy._pytesttester
import time:     21177 |    1723333 |                   numpy._core
import time:        33 |    1723366 |                 numpy._core._multiarray_umath
import time:     10201 |    1733566 |               numpy.__config__
import time:     17171 |      17171 |                                 numpy._typing._nbit_base
import time:     14113 |      14113 |                                 numpy._typing._nested_sequence
import time:     26752 |      26752 |                                 numpy._typing._shape
import time:     16537 |      74571 |                               numpy._typing._array_like
import time:     15179 |      15179 |                               numpy._typing._char_codes
import time:     11055 |      11055 |                               numpy._typing._dtype_like
import time:     13205 |      13205 |                               numpy._typing._nbit
import time:      8469 |       8469 |                               numpy._typing._scalars
