pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,280064.0,0.0,280064,280064,280064,[280064]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,343040.0,0.0,343040,343040,343040,[343040]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,456704.0,0.0,456704,456704,456704,[456704]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,881664.0,0.0,881664,881664,881664,[881664]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,1510912.0,0.0,1510912,1510912,1510912,[1510912]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,4429824.0,0.0,4429824,4429824,4429824,[4429824]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,131072.0,0.0,131072,131072,131072,[131072]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,156672.0,0.0,156672,156672,156672,[156672]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,233984.0,0.0,233984,233984,233984,[233984]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,581632.0,0.0,581632,581632,581632,[581632]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,983552.0,0.0,983552,983552,983552,[983552]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,10444800.0,0.0,10444800,10444800,10444800,[10444800]
