pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,1067008.0,0.0,1067008,1067008,1067008,[1067008]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,1342464.0,0.0,1342464,1342464,1342464,[1342464]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,1945088.0,0.0,1945088,1945088,1945088,[1945088]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,4134912.0,0.0,4134912,4134912,4134912,[4134912]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,7946240.0,0.0,7946240,7946240,7946240,[7946240]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,9300480.0,0.0,9300480,9300480,9300480,[9300480]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,173056.0,0.0,173056,173056,173056,[173056]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,200704.0,0.0,200704,200704,200704,[200704]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,347136.0,0.0,347136,347136,347136,[347136]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,849408.0,0.0,849408,849408,849408,[849408]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,1207296.0,0.0,1207296,1207296,1207296,[1207296]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,9028095.0,0.0,9028095,9028095,9028095,[9028095]
