nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
1413068266.0,44910.0,3709610.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6496.0,3298295.808,33760.0,8660.0,bcast,bine,0
1404045433.0,49515.0,3110475.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6688.0,3298295.808,26255.0,8010.0,bcast,bine,1
1403328422.0,50470.0,3143764.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,6720.0,3298295.808,32115.25,7980.0,bcast,bine,2
1404047105.0,48874.5,3120994.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6304.0,3298295.808,23755.0,8090.0,bcast,bine,3
1377931260.0,47145.0,3253348.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,6432.0,3298295.808,51415.0,7890.0,bcast,bine,4
1377915141.0,43320.5,3278912.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,6752.0,3298295.808,23962.5,8491.0,bcast,bine,5
1377931131.0,49405.5,3269557.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6752.0,3298295.808,22475.0,8920.0,bcast,bine,6
1377901132.0,51270.0,3244275.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6432.0,3298295.808,22795.0,9240.0,bcast,bine,7
1167458458.0,31400.0,1285934.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,5471967.5,7770.0,bcast,ring,0
1164644771.0,41005.0,2363712.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2464.0,2621.44,694384.25,7870.0,bcast,ring,1
1164600051.0,54635.5,2332695.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,28945.0,8570.0,bcast,ring,2
1164652321.0,33859.5,1472506.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,1696.0,524.288,4894344.25,8095.0,bcast,ring,3
1154350154.0,30755.0,2009881.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,2695438.5,7700.0,bcast,ring,4
1154337225.0,41330.0,1965494.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2240.0,2621.44,19480.0,9810.0,bcast,ring,5
1154339663.0,54000.0,2095129.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,19487.5,9131.0,bcast,ring,6
1154326936.0,32820.0,2110071.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,7945315.0,7210.0,bcast,ring,7
1212546461.0,48101.0,4825295.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6400.0,3298295.808,49272.5,11275.0,reduce,bine,0
1209732521.0,44105.5,801760.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6752.0,3298295.808,26250.5,8040.0,reduce,bine,1
1209701221.0,49475.5,823071.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6688.0,3298295.808,30738.0,9151.0,reduce,bine,2
1209739170.0,50455.5,4688802.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6304.0,3298295.808,33900.5,7930.0,reduce,bine,3
1198149599.0,45170.5,3291858.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6400.0,3298295.808,29385.0,8680.0,reduce,bine,4
1198152328.0,48535.5,845025.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6688.0,3298295.808,19942.75,9235.0,reduce,bine,5
1198150417.0,50445.0,817487.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6752.0,3298295.808,25730.0,8350.0,reduce,bine,6
1198155779.0,50520.5,3235711.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6336.0,3298295.808,26825.5,8791.0,reduce,bine,7
885816155.0,31710.5,2415928.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,5915466.0,8180.0,reduce,ring,0
883415448.0,40495.5,2382926.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2208.0,2621.44,28832.5,10010.0,reduce,ring,1
883426148.0,54250.0,2333741.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,34440.25,9180.0,reduce,ring,2
883248337.0,33050.5,1160653.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,5977690.5,7800.0,reduce,ring,3
868420443.0,31280.0,1731832.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,1896538.75,8430.0,reduce,ring,4
868419144.0,42435.5,1551458.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,2432.0,2621.44,30115.5,8400.0,reduce,ring,5
868420763.0,56891.0,2029887.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,25905.5,8690.0,reduce,ring,6
868410564.0,36925.5,2028784.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,5721644.25,8360.0,reduce,ring,7
