nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
1391698671.0,37235.0,60768.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6496.0,3298295.808,30144.5,8640.0,bcast,bine,0
1389262766.0,38921.0,63247.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9216.0,5050990.592,19307.5,8790.0,bcast,bine,1
1389250126.0,34890.0,69279.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9344.0,5050990.592,17387.5,8820.0,bcast,bine,2
1389236694.0,37855.0,63967.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,6656.0,3298295.808,27817.0,8490.0,bcast,bine,3
1365669114.0,36165.0,82800.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6848.0,3298295.808,26585.5,8440.0,bcast,bine,4
1365661384.0,37115.0,86960.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9248.0,5050990.592,24532.75,8440.0,bcast,bine,5
1365666282.0,37875.5,111135.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9344.0,5050990.592,22255.0,8349.0,bcast,bine,6
1365659281.0,40510.5,105439.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6528.0,3298295.808,23642.5,8445.0,bcast,bine,7
1367512878.0,38835.0,83952.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6400.0,3298295.808,42100.5,8420.0,bcast,bine,8
1367543556.0,35475.0,89696.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9152.0,5050990.592,20903.0,8100.0,bcast,bine,9
1367453355.0,36830.0,85359.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,9216.0,5050990.592,23265.0,8650.0,bcast,bine,10
1367537118.0,38935.0,79503.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1568.0,6464.0,3298295.808,23782.75,8440.0,bcast,bine,11
1368678434.0,39415.0,97760.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6880.0,3298295.808,30215.0,8180.0,bcast,bine,12
1368673253.0,36725.0,103824.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9504.0,5050990.592,23200.5,8220.0,bcast,bine,13
1368670804.0,36785.0,83343.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,9280.0,5050990.592,22365.0,8080.0,bcast,bine,14
1368663023.0,40565.0,76752.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6528.0,3298295.808,23953.25,8550.0,bcast,bine,15
474982042.0,25750.0,20112.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,2097.152,329568.25,7065.0,bcast,ring,0
